,Feature,CORR_log_price,LASSO_Coefficient,LASSO_Importance (abs),RIDGE_Coefficient,RIDGE_Importance (abs),PERM_Importance,RF_Importance,MI_MI Score,ANOVA_F-Value,ANOVA_p-Value,some of CORR_LC_RC_PI_RI_MS,,p_value cheker 
0,Others,0.0269,0,0,0.0213,0.0213,0,0.0001,0.0053,2.1427,0.1434,0.0536,FALSE,FALSE
1,Pooja Room,0.0311,0,0,-0.0083,0.0083,0,0.0001,0.0045,2.8748,0.0901,0.0274,FALSE,FALSE
2,Servant Room,0.1034,0,0,-0.006,0.006,0,0.0001,0,32.0132,0,0.0975,FALSE,TRUE
3,Store Room,0.0657,0,0,0.0088,0.0088,0,0,0.0111,12.8398,0.0003,0.0856,FALSE,TRUE
4,Study Room,0.0597,0,0,0.0124,0.0124,0,0.0001,0.0028,10.5841,0.0012,0.075,FALSE,TRUE
5,SuperBuildUp_adjusted_area,,0,0,0,0,0.7495,0.3762,0.7832,2.7066,0.1,1.9089,TRUE,FALSE
6,additionalRoom,,-0.003,0.003,0.0001,0.0001,0,0.0002,0.2236,285.7278,0,0.2209,TRUE,TRUE
7,additional_room_count,0.3641,0,0,0.0458,0.0458,0,0.0002,0.1185,452.954,0,0.5286,TRUE,TRUE
8,adjusted_price_per_sqft,0.2828,0,0,0,0,0.8484,0.4493,0.7377,257.6622,0,2.3182,TRUE,TRUE
9,agePossession,,0,0,0.0271,0.0271,-0.0001,0.0009,0.0546,6.8427,0.0089,0.0825,FALSE,TRUE
10,balcony,0.423,0,0,0.0352,0.0352,0.0001,0.0004,0.2335,645.8503,0,0.6922,TRUE,TRUE
11,bathroom,0.6722,0,0,0.108,0.108,0.0337,0.1637,0.3877,2443.7675,0,1.3653,TRUE,TRUE
12,bedRoom,0.6479,0,0,0.0724,0.0724,0.0011,0.0014,0.3627,2144.3139,0,1.0855,TRUE,TRUE
13,facing,,0,0,0.0019,0.0019,0.0001,0.0005,0.0379,52.5023,0,0.0404,FALSE,TRUE
14,features_category,0.0527,0,0,-0.0069,0.0069,0,0.0002,0.0951,8.2526,0.0041,0.1411,TRUE,TRUE
15,features_score,0.2308,0,0,0.0019,0.0019,0,0.0005,0.1289,166.7571,0,0.3621,TRUE,TRUE
16,floor,0.2266,0,0,0.0077,0.0077,0.0001,0.0006,0.0868,160.4331,0,0.3218,TRUE,TRUE
17,furnish_category,,0,0,0.0707,0.0707,0.0001,0.0002,0.0399,176.5931,0,0.1109,TRUE,TRUE
18,furnish_score,0.3155,0.0028,0.0028,0.0063,0.0063,0,0.0004,0.1571,327.7147,0,0.4821,TRUE,TRUE
21,property_name,0.6479,0,0,0.0724,0.0724,0.0009,0.0012,0.353,2144.3139,0,1.0754,TRUE,TRUE
22,rating_sum,,0,0,-0.0025,0.0025,-0.0001,0.0005,0.1674,1.5705,0.2102,0.1653,TRUE,FALSE
23,sector,,-0.0013,0.0013,-0.0011,0.0011,0.0007,0.0014,0.6503,130.427,0,0.65,TRUE,TRUE
24,society,,-0.0002,0.0002,0,0,0.0003,0.0018,0.7151,72.89,0,0.717,TRUE,TRUE
25,unavailable,,0,0,-0.0287,0.0287,0,0.0001,0.004,57.6005,0,-0.0246,FALSE,TRUE
